authfull,inst_name,cntry,np6019,np,firstyr,lastyr,rank (ns),nc9619 (ns),h19 (ns),hm19 (ns),nps (ns),ncs (ns),cpsf (ns),ncsf (ns),npsfl (ns),ncsfl (ns),c (ns),npciting (ns),cprat (ns),np6019 cited9619 (ns),np cited9619 (ns),self%,rank,nc9619,h19,hm19,nps,ncs,cpsf,ncsf,npsfl,ncsfl,c,npciting,cprat,np6019 cited9619,np cited9619,np6019_d,np_d,nc9619_d,sm-subfield-1,sm-subfield-1-frac,sm-subfield-2,sm-subfield-2-frac,sm-field,sm-field-frac,rank sm-subfield-1,rank sm-subfield-1 (ns),sm-subfield-1 count,top percentile,top percentile (ns),is_diaspora,academic_age,percentile_group
"Philippidis, Alex",,,42,42,2011,2019,5975685,6,1,1.0,42,6,42,6,42,6,0.902955857186038,6,1.0,6,6,0.0,6275003,6,1,1.0,42,6,42,6,42,6,0.899835214595043,6,1.0,6,6,0,0,0,,,,,,,,,,,,1,9,unknown
"Garefis, P. N.",,,8,8,1968,1979,5975685,6,1,1.0,8,6,8,6,8,6,0.902955857186038,6,1.0,2,2,0.0,6275003,6,1,1.0,8,6,8,6,8,6,0.899835214595043,6,1.0,2,2,0,0,0,,,,,,,,,,,,1,52,unknown
"Rassidakis, N. C.",,,5,5,1963,1976,5985846,12,2,0.5,0,0,5,12,5,12,0.900891355320987,12,1.0,2,2,0.0,6286286,12,2,0.5,0,0,5,12,5,12,0.897446108984718,12,1.0,2,2,0,0,0,,,,,,,,,,,,1,57,unknown
"Kritikou, P.",,,10,10,1974,1985,6034862,13,2,1.0,0,0,6,7,7,7,0.888604094461082,13,1.0,3,3,0.0,6335289,13,2,1.0,0,0,6,7,7,7,0.884635401038222,13,1.0,3,3,0,0,0,,,,,,,,,,,,1,46,unknown
"Michos, N.",,,22,22,1983,1986,6104777,13,2,1.53333333333333,0,0,4,3,11,6,0.871099990648998,12,1.08333333333333,8,8,0.0,6402790,13,2,1.53333333333333,0,0,4,3,11,6,0.866721955038012,12,1.08333333333333,8,8,0,0,0,,,,,,,,,,,,1,37,unknown
"Perdikis, P.",,,7,7,1969,1983,6107223,4,2,1.5,4,2,7,4,7,4,0.870446714524402,4,1.0,2,2,0.0,6404543,4,2,1.5,4,2,7,4,7,4,0.866319964690341,4,1.0,2,2,0,0,0,,,,,,,,,,,,1,51,unknown
"Leontis, T.",,,7,7,1977,1982,6140946,26,2,1.0,0,0,1,0,5,24,0.861955338785452,26,1.0,4,4,0.0,6436707,26,2,1.0,0,0,1,0,5,24,0.857922664178564,26,1.0,4,4,0,0,0,,,,,,,,,,,,1,43,unknown
"Tselikis, P.",,,10,10,1999,2001,6177023,5,1,1.0,10,5,10,5,10,5,0.852853857259357,5,1.0,4,4,0.0,6467137,5,1,1.0,10,5,10,5,10,5,0.849782123389116,5,1.0,4,4,0,0,0,,,,,,,,,,,,1,21,unknown
"Sotiropoulos, E.",,,5,5,1980,1997,6200045,12,2,1.33333333333333,0,0,2,3,3,6,0.847851843000474,12,1.0,5,5,0.0,6493200,12,2,1.33333333333333,0,0,2,3,3,6,0.843648611654554,12,1.0,5,5,0,0,0,,,,,,,,,,,,1,40,unknown
"Tragakis, M.",,,7,7,1973,1979,6295693,11,2,0.833333333333333,0,0,2,5,5,6,0.823678773033379,11,1.0,4,4,0.0,6582014,11,2,0.833333333333333,0,0,2,5,5,6,0.819933870087276,11,1.0,4,4,0,0,0,,,,,,,,,,,,1,47,unknown
"Koumoundouros, E.",,,6,6,1986,1990,6319520,21,3,0.95,0,0,0,0,4,9,0.817639357326789,20,1.05,4,4,0.0,6606669,21,3,0.95,0,0,0,0,4,9,0.813250966032907,20,1.05,4,4,0,0,0,,,,,,,,,,,,1,34,unknown
"GARGOULAS, A.",,,6,8,1956,1964,6330114,59,1,0.2,0,0,0,0,5,59,0.814914152003229,59,1.0,0,1,0.0,6609780,59,1,0.2,0,0,0,0,5,59,0.812340099520059,59,1.0,0,1,0,0,0,,,,,,,,,,,,1,64,unknown
"Poulantzas, J. K.",,,7,7,1965,1966,6336988,32,3,1.33333333333333,0,0,0,0,3,3,0.813339091548149,32,1.0,4,4,0.0,6623934,32,3,1.33333333333333,0,0,0,0,3,3,0.808550563796094,32,1.0,4,4,0,0,0,,,,,,,,,,,,1,55,unknown
"Poulantzas, J. K.",,,7,7,1965,1966,6336988,32,3,1.33333333333333,0,0,0,0,3,3,0.813339091548149,32,1.0,4,4,0.0,6623934,32,3,1.33333333333333,0,0,0,0,3,3,0.808550563796094,32,1.0,4,4,0,0,0,,,,,,,,,,,,1,55,unknown
"GEORGOPOULOS, A. J.",,,5,5,1961,1961,6340107,6,2,1.0,0,0,5,6,5,6,0.81245712207884,6,1.0,3,3,0.0,6622815,6,2,1.0,0,0,5,6,5,6,0.808653748038759,6,1.0,3,3,0,0,0,,,,,,,,,,,,1,59,unknown
